logFC	logCPM	PValue	FDR
FGRRES_13952	13.4574541552174	9.0798793554226	0	0
FGRRES_04780	-12.3606477871928	9.08097465611051	0	0
FGRRES_03737	-11.4434202145779	10.0291219054241	0	0
FGRRES_01765	10.8750045527475	8.86778682872033	0	0
FGRRES_02050	-10.7548135197443	9.88821511201239	0	0
FGRRES_09066	10.7102802988654	10.2043602898283	0	0
FGRRES_03735_2_M	-10.6116237686316	9.19866319564448	0	0
FGRRES_03817	-10.321597877203	9.10040189281371	0	0
FGRRES_07587	10.2168569434036	9.39763327452358	0	0
FGRRES_09210	-10.023598735693	10.6766267725174	0	0
FGRRES_00793	-9.78072417099303	10.5626697101704	0	0
FGRRES_05928	-9.56984178923632	11.6596375449884	2.59678364500212e-314	2.34857440826737e-311
FGRRES_11101_M	11.6844657652756	7.33868799018531	1.04105221936235e-279	8.69118441287657e-277
FGRRES_16213_M	-10.0428074746069	9.06447358198703	1.42836674004584e-278	1.10729030212268e-275
FGRRES_08037	10.0702807115761	7.7274989180663	1.92634983194664e-271	1.39377831507446e-268
FGRRES_02914	11.800244465006	7.45857893525552	1.95353612425364e-268	1.3251079722828e-265
FGRRES_02915_M	13.7109610649381	7.15108957489458	1.758249312884e-261	1.12248704663118e-258
FGRRES_03884	-11.0665845706469	7.79222060039425	1.41884075600582e-258	8.55482151385064e-256
FGRRES_05159	-9.25447315362473	9.94421981837213	2.10376274498364e-251	1.20169142480566e-248
FGRRES_03738	-9.76957995546469	8.79033450103402	3.95474920620124e-248	2.1460446567451e-245
FGRRES_17471	-11.24824099099	8.13376830242214	1.19602183675391e-243	6.18115475918583e-241
FGRRES_03599	10.3342257041119	7.77691419177359	5.86635485149632e-237	2.89397950924044e-234
FGRRES_17386	-9.21934568867259	8.84647428557711	1.83917297025145e-202	8.6784974983213e-200
FGRRES_04012	13.1041262579661	6.54023842049072	4.12039699291754e-194	1.86327785683892e-191
FGRRES_11303	10.9439701540437	6.59473222868015	1.2387270541848e-178	5.37756188762704e-176
FGRRES_09881	8.96711627612365	9.44933075760037	1.34403133220305e-178	5.61029694169221e-176
FGRRES_03692	-11.2154259371144	7.1058391072949	8.98581047895967e-176	3.61196300474627e-173
FGRRES_17740	-10.4611885989893	7.19177163547025	1.61155954891739e-174	6.24651992300014e-172
FGRRES_10547_M	-9.98759525128751	7.23476275664977	4.73329279465305e-172	1.77139402415068e-169
FGRRES_01831	10.6930171903173	6.31792534008971	9.85965265948843e-169	3.56689367711427e-166
FGRRES_07639	10.9976732441655	6.65491255877662	7.23008604338085e-163	2.53122980092943e-160
FGRRES_08697_M	-8.71697980558001	8.74601836710143	5.9520518201245e-160	2.0186755751191e-157
FGRRES_00773	-8.61703204012997	10.570109284421	4.52609976395966e-157	1.48853820418952e-154
FGRRES_12240	10.5650222794931	6.18941241360896	4.82219905221001e-157	1.53927430334221e-154
FGRRES_03448	-8.3936292666315	11.9250523395086	1.83290553032588e-154	5.68357820589335e-152
FGRRES_04089	-9.1151476889648	8.02052922033511	8.70801104163661e-154	2.62522343985784e-151
FGRRES_00237	10.0317670139087	6.52969950085283	1.96174829265712e-151	5.75428492438047e-149
FGRRES_04656	8.7371579040287	8.58717649120467	2.30079658586389e-149	6.57119614378442e-147
FGRRES_07807	8.98552938752125	7.1746536986543	1.95944267389137e-146	5.45277726660077e-144
FGRRES_02672_M	10.6455461301189	6.293940860722	7.71495128811366e-144	2.09325915824744e-141
FGRRES_00150	8.6594284620895	7.47969794013463	8.1494547972958e-140	2.15722031500125e-137
FGRRES_00096	8.63289411591746	7.9764198040151	8.87019169848426e-139	2.29209977389642e-136
FGRRES_03700	10.4541269518305	6.10228556100806	4.36081209408968e-137	1.10064868970129e-134
FGRRES_06598	8.65943212338947	7.47953284359657	7.38810071914864e-137	1.82234220693e-134
FGRRES_11008	9.77987881417218	6.27689312016588	9.29945553530756e-133	2.24282202054873e-130
FGRRES_05160	-8.4854280835735	8.69784427361773	2.30219530579544e-132	5.43167948995606e-130
FGRRES_02248_M	-8.05547681362411	11.4808765907106	6.6097092281332e-132	1.52628030325382e-129
FGRRES_11413	10.2733118933412	5.89587556670363	1.79840666697678e-130	4.06627240764563e-128
FGRRES_13954	8.54272224014255	7.21962373030263	3.43604707105007e-130	7.61049364532784e-128
FGRRES_03184_M	8.52260901568875	7.88812566987416	7.3294408096199e-130	1.5909284221361e-127
FGRRES_04704	10.3319086170055	5.95795577256433	2.23771408383926e-127	4.76194332390344e-125
FGRRES_04709	12.4036907156692	5.83975323244883	2.55943226104081e-124	5.34183044789922e-122
FGRRES_06564_M	-8.20305359154017	8.82773842630679	2.77295069352052e-119	5.67827054278833e-117
FGRRES_15917_M	9.0117267909407	6.66347382303929	5.97741186036621e-118	1.20134909112138e-115
FGRRES_20120	-8.0715924692217	9.60115507743419	4.51219617953097e-117	8.90379366117265e-115
FGRRES_03693	-13.0321999501861	6.48723249554966	1.10984470479856e-113	2.1509186752105e-111
FGRRES_07993	10.4678888909043	6.12631078641514	4.16423605750048e-112	7.92885156702679e-110
FGRRES_10545	-9.89612923586109	6.62815410386354	1.96806361577218e-109	3.68265421068543e-107
FGRRES_03483	12.3271236875346	5.75679071619791	3.78615449867593e-108	6.9645991142593e-106
FGRRES_16621	-8.04626558697292	7.99339702405637	5.15607760196717e-106	9.32648503569162e-104
FGRRES_03048	-12.797524143637	6.25549385074985	1.95009253692616e-103	3.4695662792229e-101
FGRRES_03003	12.0590693632659	5.49188402608142	1.32234347487201e-100	2.31474092464288e-98
FGRRES_12551	9.51861483460582	6.02471993415695	5.17802823181532e-96	8.92018101585582e-94
FGRRES_17073	12.005413786978	5.44054577855408	8.92202921920112e-96	1.51298098618734e-93
FGRRES_09353	9.2400860257696	5.7340570117694	1.6723597800416e-94	2.79232626042946e-92
FGRRES_20327	11.9416449460943	5.37476100258327	1.27253199739758e-92	2.09254390420544e-90
FGRRES_11036	8.2827262411614	6.00363405800462	1.41389924177435e-92	2.29030574193686e-90
FGRRES_06462	11.9583677911832	5.39358975947996	5.76572392386691e-92	9.202264962607e-90
FGRRES_10972	-8.86985183825542	6.62622525291803	1.08193803446614e-91	1.70177876638565e-89
FGRRES_06397	7.58985400616422	7.80116025505474	2.23109340302239e-91	3.45915095757171e-89
FGRRES_09291	8.36296845093605	5.72623851053091	6.15429704410596e-91	9.40740645347633e-89
FGRRES_05724	-7.75151111053983	8.41295179889441	2.69943633493694e-89	4.06902535320426e-87
